,Region,Region_code,price_period,price_period_code,price,number_bathrooms,number_bedrooms,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Pets Allowed,Wheelchair Access,Garden / Patio / Balcony,Serviced Property
1358,Dublin 24,11,month,0,1100,1,1,1,0,0,0,0,0,0,0,0,0
1359,Dublin 24,11,month,0,1475,1,1,1,0,0,0,0,0,0,1,0,0
1360,Dublin 2,8,month,0,2650,1,2,0,1,1,1,1,1,0,0,1,0
1361,Dublin 4,13,month,0,1750,1,1,1,0,1,1,1,1,0,0,0,0
1362,Dublin 11,1,month,0,1425,1,2,0,1,1,1,0,1,0,0,0,1
1363,Dublin 8,18,month,0,1300,1,1,0,1,1,1,1,1,0,0,0,1
1364,Dublin 2,8,month,0,1950,1,2,0,1,1,1,1,1,0,0,1,0
1365,Dublin 1,0,month,0,1400,1,1,0,1,1,1,0,1,0,0,1,1
1366,Dublin 2,8,month,0,1895,1,2,0,1,1,1,1,0,0,0,0,0
1367,Dublin 8,18,month,0,2225,1,2,1,1,1,1,0,1,0,0,0,0
1368,Dublin 4,13,month,0,1850,1,1,0,1,1,1,1,1,0,0,1,1
1369,Dublin 4,13,week,1,735,2,2,1,1,1,1,1,1,0,0,0,0
1370,Dublin 7,17,month,0,1750,1,1,0,1,1,1,1,1,0,0,1,0
1371,Dublin 1,0,week,1,840,2,1,1,1,1,1,1,1,0,0,0,0
1372,Dublin 4,13,week,1,735,2,2,1,1,1,1,1,1,0,0,0,0
1373,Dublin 2,8,week,1,840,1,1,0,1,1,1,1,1,0,0,1,1
1374,Dublin 1,0,week,1,700,2,1,1,1,1,1,1,1,0,0,0,0
1375,Dublin 1,0,week,1,840,2,1,1,1,1,1,1,1,0,0,0,0
1376,Dublin 4,13,month,0,1950,1,1,1,1,1,1,1,1,0,0,1,1
1377,Dublin 1,0,week,1,840,2,1,1,1,1,1,1,1,0,0,0,0
1378,Dublin 2,8,week,1,700,1,1,0,1,1,1,1,1,0,0,1,1
1379,Dublin 4,13,week,1,840,1,1,1,1,1,1,1,1,0,0,1,1
1380,Dublin 2,8,month,0,2400,2,2,0,1,1,1,1,1,0,1,1,0
1381,Dublin 8,18,month,0,1800,1,1,0,1,1,1,1,1,0,0,1,0
1382,Dublin 2,8,month,0,1785,1,1,0,0,1,1,1,1,0,0,0,0
1383,Dublin 2,8,month,0,2000,2,2,0,1,1,1,1,1,0,0,0,0
1384,Dublin 1,0,week,1,840,2,1,1,1,1,1,1,1,0,0,0,0
1385,Dublin 1,0,month,0,1750,2,1,0,1,1,1,1,1,0,0,1,1
1386,Dublin 2,8,week,1,700,1,1,0,1,1,1,1,1,0,0,1,1
1387,Dublin 4,13,month,0,3200,2,2,1,1,1,0,0,1,0,0,0,0
1388,Dublin 4,13,month,0,3000,2,2,1,1,1,1,1,1,0,0,1,0
1389,Dublin 4,13,month,0,3300,2,2,1,1,1,1,1,1,0,0,1,0
1390,Dublin 4,13,month,0,1650,1,1,1,0,1,1,1,1,0,1,0,0
1391,Dublin 1,0,month,0,2200,1,3,1,1,1,0,1,1,0,0,0,0
1392,Dublin 1,0,month,0,1800,1,2,1,1,1,1,1,1,0,0,0,0
1393,Dublin 6,15,month,0,1600,1,2,0,1,0,0,0,0,0,0,0,0
1394,Dublin 4,13,month,0,1600,1,1,1,0,1,1,0,1,0,0,1,0
1395,Dublin 4,13,month,0,1450,1,1,0,1,1,1,1,1,0,0,1,0
1396,Dublin 6,15,month,0,1800,2,2,1,1,1,1,0,1,0,0,0,0
1397,Dun Laoghaire A9X,24,month,0,1450,1,1,1,0,1,1,0,1,0,0,1,1
1398,Dublin 12,2,month,0,1300,1,1,0,0,1,1,0,1,0,0,0,0
1399,Dublin 2,8,month,0,1450,1,1,0,1,1,1,1,1,0,0,1,0
1400,Dublin 1,0,month,0,1250,1,1,1,0,1,1,0,1,0,0,0,0
1401,Dublin 7,17,month,0,2100,2,2,1,0,0,0,0,0,0,0,0,0
1402,Dublin 15,5,month,0,2350,2,3,1,1,1,1,1,1,0,1,1,0
1403,Dublin 5,14,month,0,2650,2,2,1,1,0,0,0,0,0,0,1,0
1404,Dublin 14,4,month,0,1600,1,2,1,0,1,0,0,1,0,0,0,0
1405,Dublin 13,3,month,0,2000,2,2,1,1,1,1,1,1,0,0,1,0
1406,Dublin 8,18,month,0,1650,1,2,0,1,1,0,0,1,0,0,0,0
1407,Dublin 2,8,month,0,1900,1,2,0,0,1,0,0,1,0,0,0,0
1408,Dublin 14,4,month,0,1798,1,2,0,1,1,1,0,1,0,0,1,0
1409,Dublin 8,18,month,0,1785,1,2,1,0,1,1,1,1,0,0,1,0
1410,Dublin 1,0,month,0,2600,2,3,1,1,1,1,1,1,0,0,1,0
1411,Dublin 1,0,month,0,1900,2,2,0,0,1,0,0,1,0,0,1,0
1412,Dublin 9,19,month,0,1900,1,3,1,1,0,1,0,1,0,0,1,0
1413,Dublin Fingal K67,21,month,0,2200,2,3,1,1,1,1,1,1,0,0,1,0
1414,Dublin 6,15,month,0,1400,1,1,1,1,1,0,0,1,0,0,1,0
1415,Dublin 6,15,month,0,1500,1,1,1,1,1,1,0,1,0,0,1,0
1416,Dublin 4,13,month,0,1850,1,1,0,0,0,0,0,0,0,1,0,0
1417,Dublin 2,8,month,0,2700,3,3,0,1,1,1,1,1,0,0,1,0
1418,Dublin 3,12,month,0,1595,1,1,1,1,1,0,1,1,0,0,1,0
1419,Dublin 7,17,month,0,1400,1,1,0,1,1,1,1,1,0,0,1,0
1420,Dublin 4,13,month,0,2000,2,2,1,0,1,1,1,1,0,0,1,0
1421,Dublin 7,17,month,0,1300,1,1,0,0,1,0,0,1,0,0,0,0
1422,Dublin 15,5,month,0,1850,2,2,1,1,1,1,1,0,0,0,1,0
1423,Dublin 2,8,month,0,1600,1,2,1,1,1,1,0,1,0,0,0,0
1424,Dublin 2,8,month,0,1600,1,1,0,1,1,0,0,1,0,0,0,0
1425,Dublin 3,12,month,0,1880,2,2,1,0,0,0,0,0,0,1,0,0
1426,Dublin 18,7,month,0,1750,2,2,1,1,1,1,1,1,0,0,1,1
1427,Dublin 6,15,month,0,1800,1,2,1,1,1,0,0,0,0,0,0,0
1428,Dublin 7,17,month,0,1500,1,2,1,0,0,0,0,0,0,0,0,0
1429,Dublin 2,8,month,0,1570,1,1,0,1,1,1,0,1,0,0,1,0
1430,Dublin 8,18,month,0,1690,1,2,1,0,0,0,0,0,0,0,0,0
1431,Dublin 7,17,month,0,1300,1,1,1,0,0,0,0,0,0,0,0,0
1432,Dublin 6,15,month,0,1350,1,1,1,1,1,0,0,1,0,0,0,1
1433,Dublin 3,12,month,0,1190,1,1,1,1,1,1,0,1,0,0,0,0
1434,Dublin 2,8,month,0,2150,2,2,1,0,0,0,0,0,0,0,0,0
1435,Dublin 7,17,month,0,1875,1,2,1,1,1,1,0,1,0,0,1,0
1436,Dublin 16,6,month,0,1500,1,2,1,0,0,0,0,0,0,0,0,0
1437,Dublin 18,7,month,0,2100,2,2,1,1,1,1,1,1,0,0,1,0
1438,Dublin 8,18,month,0,1600,1,2,0,0,1,1,1,1,0,0,1,0
1439,Dublin 6,15,month,0,1300,1,1,0,0,1,0,0,1,0,0,1,0
1440,Dublin 8,18,week,1,600,1,2,0,1,1,0,1,1,0,0,1,0
1441,Dublin 2,8,month,0,1800,1,2,0,1,1,0,0,1,0,0,0,0
1442,Dublin 1,0,month,0,2000,2,2,0,1,1,0,0,1,0,1,1,0
1443,Dublin 1,0,month,0,1600,1,1,1,1,1,1,0,1,0,0,1,0
1444,Dublin 1,0,month,0,2100,2,2,0,1,0,0,0,1,0,0,1,0
1445,Dublin 8,18,month,0,1850,2,2,0,1,1,0,0,1,0,0,0,0
1446,Dublin 8,18,month,0,2000,1,2,0,0,1,1,0,1,0,0,0,0
1447,Dublin 7,17,month,0,1700,1,1,1,0,1,1,0,1,0,0,0,0
1448,Dublin 18,7,month,0,1800,1,2,1,0,1,1,1,1,0,0,0,0
1449,Dublin 2,8,month,0,3000,2,2,1,1,1,1,1,1,0,0,1,0
1450,Dublin 4,13,month,0,1750,1,2,1,1,1,1,0,1,0,0,1,0
1451,Dublin 4,13,month,0,1550,1,1,1,0,0,0,0,0,0,0,0,0
1452,Dublin 13,3,month,0,1800,2,2,1,1,1,1,1,1,0,0,0,0
1453,Dublin 18,7,month,0,1550,1,1,1,1,1,0,1,0,0,0,1,0
1454,Dublin 3,12,month,0,2700,2,3,0,1,1,1,1,0,0,0,1,0
1455,Dublin 22,10,month,0,1970,2,3,1,0,1,0,1,1,0,0,1,0
1456,Dublin 15,5,month,0,1800,2,2,1,1,1,0,1,1,0,0,0,0
1457,Dublin 1,0,month,0,1350,1,1,0,1,1,0,0,1,0,0,1,1
1458,Dublin 4,13,month,0,2800,3,2,0,1,1,1,1,1,0,0,0,0
1459,Dublin 4,13,month,0,2500,1,2,0,0,1,1,0,0,0,0,0,0
1460,Dublin 1,0,month,0,1875,1,2,1,0,1,1,1,1,0,0,1,0
1461,Dublin 6,15,month,0,1900,1,2,1,1,1,0,1,1,0,0,1,0
1462,Dublin Fingal K36,20,month,0,3300,2,3,1,1,1,1,1,1,0,0,1,0
1463,Dublin 4,13,month,0,3900,2,2,1,1,1,1,1,1,0,0,1,1
1464,Dublin 4,13,month,0,2100,1,2,1,1,1,1,1,1,1,0,1,0
1465,Dublin 4,13,month,0,1395,1,1,1,1,1,0,0,1,0,0,1,0
1466,Dublin 7,17,month,0,2000,2,2,0,1,1,1,1,1,0,1,1,0
1467,Dublin 14,4,month,0,1864,2,2,1,1,1,0,1,1,0,0,1,0
1468,Dublin 3,12,month,0,2850,2,3,1,1,1,1,1,1,0,0,1,0
1469,Dublin 9,19,month,0,2100,2,2,1,1,1,0,0,0,0,0,1,0
1470,Dublin 4,13,month,0,2400,2,2,1,1,1,1,1,0,0,0,1,0
1471,Dublin Fingal K36,20,month,0,2200,2,2,1,1,1,0,0,0,0,0,1,0
1472,Dublin 3,12,month,0,2000,2,2,1,1,1,1,1,0,0,0,1,0
1473,Dublin 4,13,week,1,1500,2,3,1,1,1,1,1,1,0,0,1,0
1474,Dublin Fingal K36,20,month,0,2000,2,2,1,1,1,0,1,0,0,0,1,0
1475,Dublin 16,6,month,0,1950,2,2,1,1,1,0,1,1,0,1,1,0
1476,Dublin 8,18,month,0,2000,1,2,0,1,1,1,0,1,0,0,0,0
1477,Dublin 8,18,month,0,1800,1,2,0,1,1,0,1,1,0,0,0,0
1478,Dublin 9,19,month,0,1850,2,2,1,1,1,1,1,1,0,0,1,0
1479,Dublin 18,7,month,0,1521,1,1,1,1,1,1,1,1,0,0,0,1
1480,Dublin 6,15,month,0,1750,1,2,0,0,1,1,0,1,0,0,0,0
1481,Dublin 6,15,month,0,1250,1,1,0,0,1,1,0,1,0,0,0,0
1482,Dublin 6,15,month,0,1750,1,2,0,0,1,1,0,1,0,0,0,0
1483,Dublin 2,8,month,0,1550,1,1,0,0,1,1,0,1,0,0,0,0
1484,Dublin 6,15,month,0,1350,1,1,0,0,1,1,0,1,0,0,0,0
1485,Dublin 6,15,month,0,1350,1,1,0,0,1,1,0,1,0,0,0,0
1486,Dublin 6,15,month,0,1500,1,1,0,0,1,1,0,1,0,0,0,0
1487,Dublin 8,18,month,0,1900,1,3,0,0,1,1,0,1,0,0,0,0
1488,Dublin 6,15,month,0,1300,1,1,0,0,1,1,0,1,0,0,0,0
1489,Dublin 6,15,month,0,1350,1,1,0,0,1,1,0,1,0,0,0,0
1490,Dublin 6,15,month,0,1450,1,1,1,0,1,1,0,1,0,0,0,0
1491,Dublin 6,15,month,0,1395,1,1,0,0,1,1,0,1,0,0,0,0
1492,Dublin 8,18,month,0,1650,1,1,0,0,1,1,0,1,0,0,0,0
1493,Dublin 6,15,month,0,1900,1,2,0,0,1,1,0,1,0,0,0,0
1494,Dublin 8,18,month,0,1850,1,2,0,0,1,1,0,1,0,0,0,0
1495,Dublin 3,12,month,0,1850,2,2,1,1,1,0,1,1,0,0,0,0
1496,Dublin 4,13,month,0,2000,2,2,1,1,1,0,1,1,0,0,0,1
1497,Dublin 8,18,month,0,1850,1,1,1,1,1,1,1,1,0,0,1,1
1498,Dublin 4,13,month,0,1450,1,1,1,1,1,1,0,1,0,0,0,1
1499,Dublin 8,18,month,0,1850,1,2,1,1,1,1,1,1,0,0,1,1
1500,Dublin 1,0,month,0,1800,1,2,0,1,1,1,0,1,0,0,1,1
1501,Dublin 4,13,month,0,2000,1,2,0,1,1,1,1,1,0,0,0,1
1502,Dublin 3,12,month,0,1800,1,2,1,0,1,1,0,1,0,0,1,0
1503,Dublin 1,0,month,0,1400,1,2,1,0,0,0,0,0,0,0,0,0
1504,Dublin 7,17,month,0,1250,1,1,0,1,1,0,0,0,0,0,1,0
1505,Dublin 13,3,month,0,2600,2,3,1,1,1,1,1,1,0,0,1,0
1506,Dublin 1,0,month,0,1975,2,2,0,0,1,1,1,1,0,0,1,1
1507,Dublin 1,0,month,0,1885,1,2,1,0,1,1,0,1,0,0,1,0
1508,Dublin 4,13,month,0,1450,1,2,1,0,1,0,0,1,0,0,0,0
1509,Dublin 4,13,month,0,2250,2,2,1,1,1,0,1,1,0,0,0,0
1510,Dublin 11,1,month,0,1600,2,2,1,1,1,1,0,1,0,0,1,1
1511,Dublin 4,13,month,0,1400,1,1,0,1,1,0,0,0,0,0,0,0
1512,Dublin 8,18,month,0,2000,2,2,0,1,1,0,1,1,0,0,1,1
1513,Dublin 7,17,month,0,1100,1,1,1,1,1,0,0,1,0,0,0,0
1514,Dublin 2,8,month,0,1320,1,1,0,1,0,0,0,0,0,0,0,0
1515,Dublin 2,8,month,0,1300,1,1,0,1,1,0,0,0,0,0,0,0
1516,Dublin 7,17,month,0,1300,1,2,0,1,1,0,0,1,0,0,0,0
1517,Dun Laoghaire A94,22,month,0,1600,1,1,1,1,1,1,1,0,0,0,0,1
1518,Dublin 4,13,month,0,2450,2,2,1,1,1,1,1,1,0,0,1,1
1519,Dublin 4,13,month,0,1900,1,1,0,1,1,1,1,1,0,0,1,1
1520,Dublin 1,0,month,0,2000,2,2,0,1,1,0,0,1,0,0,1,0
1521,Dublin 8,18,month,0,1517,1,1,1,1,1,1,1,1,0,0,1,0
1522,Dublin 24,11,month,0,1350,1,1,1,1,1,0,1,0,0,0,1,0
1523,South Dublin K78,25,month,0,1750,2,2,1,1,1,0,0,0,0,0,0,0
1524,Dublin 18,7,month,0,1700,1,1,1,1,1,0,0,1,0,0,1,0
1525,Dublin 6W,16,month,0,1800,2,2,1,1,1,1,1,1,0,0,1,0
1526,Dublin 2,8,month,0,2000,1,1,0,1,1,1,1,1,0,0,1,0
1527,Dublin 24,11,month,0,1350,1,1,1,1,1,0,1,0,0,0,1,0
1528,South Dublin K78,25,month,0,1750,2,2,1,1,1,0,0,0,0,0,0,0
1529,Dublin 18,7,month,0,1700,1,1,1,1,1,0,0,1,0,0,1,0
1530,Dublin 6W,16,month,0,1800,2,2,1,1,1,1,1,1,0,0,1,0
1531,Dublin 2,8,month,0,2000,1,1,0,1,1,1,1,1,0,0,1,0
1532,Dublin 2,8,month,0,2700,2,2,0,1,1,1,1,1,0,0,1,1
1533,Dublin 9,19,month,0,1650,1,1,1,1,1,1,0,1,0,0,1,0
1534,Dublin 2,8,month,0,2400,1,2,1,0,1,1,1,1,0,0,1,1
1535,Dublin 1,0,month,0,1500,1,1,1,1,1,0,1,0,0,0,1,1
1536,Dublin 4,13,month,0,1675,1,1,1,1,1,0,1,1,0,0,1,0
1537,Dublin 2,8,month,0,1575,2,1,0,1,1,1,0,1,0,0,0,0
1538,Dublin 4,13,month,0,2500,2,2,1,1,1,1,1,1,0,1,1,0
1539,Dublin 8,18,month,0,2000,2,2,0,0,0,0,0,0,0,1,0,0
1540,Dublin 1,0,month,0,1600,1,2,0,1,1,1,0,1,0,0,0,0
1541,Dublin 1,0,month,0,1600,1,2,0,1,1,0,0,1,0,0,0,0
1542,Dublin 1,0,month,0,1900,1,2,0,1,1,1,0,1,0,0,1,0
1543,Dublin 1,0,month,0,1800,1,2,0,1,1,0,0,1,0,0,0,0
1544,Dublin 1,0,month,0,1700,1,2,0,1,1,0,0,1,0,0,0,0
1545,Dublin 7,17,month,0,1500,1,1,0,1,1,0,0,1,0,0,1,1
1546,Dublin 1,0,month,0,1400,1,1,0,1,1,0,0,1,0,0,0,0
1547,Dublin 1,0,month,0,2100,2,2,1,0,1,1,0,1,0,0,0,1
1548,Dublin 1,0,month,0,2250,2,3,1,0,1,0,1,1,0,0,0,0
1549,Dublin 1,0,month,0,2250,2,2,1,0,1,1,1,0,0,0,1,0
1550,Dublin 4,13,month,0,1950,1,1,1,1,1,1,1,1,0,0,1,0
1551,Dublin 2,8,month,0,1350,1,1,0,1,1,0,0,1,0,0,0,0
1552,Dublin 2,8,month,0,1650,1,2,0,1,1,0,0,1,0,0,0,0
1553,Dublin 24,11,month,0,2000,2,2,0,1,1,0,0,1,0,0,0,0
1554,Dublin 6,15,month,0,1750,1,1,1,0,0,0,0,0,0,0,0,0
1555,Dublin 4,13,month,0,2250,1,2,1,0,1,1,0,1,0,0,0,0
1556,Dublin 2,8,month,0,1350,1,1,0,1,1,0,0,1,0,0,0,0
1557,Dublin 18,7,month,0,1850,2,2,1,1,1,0,1,1,0,0,1,1
1558,Dublin 18,7,month,0,2000,2,2,1,1,1,0,0,0,0,0,1,0
1559,Dublin 6,15,month,0,2000,1,2,1,1,1,1,1,1,0,0,1,0
1560,Dublin 8,18,month,0,1750,1,2,1,1,1,1,1,1,0,0,1,0
1561,Dublin 8,18,month,0,1565,1,1,0,1,1,1,1,1,0,0,1,0
1562,Dublin 3,12,month,0,1880,1,2,1,1,1,1,1,1,0,0,0,0
1563,Dublin 8,18,month,0,1600,1,2,1,1,1,1,0,1,0,1,0,1
1564,Dublin 18,7,month,0,1400,1,1,1,1,1,0,1,1,0,0,1,0
1565,Dublin 2,8,month,0,1900,1,2,1,1,1,0,1,1,0,0,1,0
1566,Dublin 9,19,month,0,2200,2,2,1,1,1,1,1,1,0,1,1,1
1567,Dublin 4,13,month,0,2100,1,2,1,1,1,1,1,1,0,0,1,0
1568,Dublin 18,7,month,0,1900,2,2,1,1,1,1,1,1,0,0,1,0
1569,Dublin 4,13,month,0,1900,1,2,1,0,0,0,0,0,0,0,0,0
1570,Dublin 3,12,month,0,1700,2,2,1,1,1,1,1,0,0,0,0,0
1571,Dublin 6,15,month,0,1500,1,1,1,1,1,0,0,1,0,1,0,1
1572,Dublin 4,13,month,0,2100,1,2,1,1,1,1,1,1,0,0,0,0
1573,Dun Laoghaire A9X,24,month,0,2600,2,3,1,1,1,0,1,1,0,0,1,1
1574,Dublin 6W,16,month,0,1190,1,1,1,1,1,1,0,1,0,0,0,0
1575,Dublin 8,18,month,0,2000,2,2,1,1,1,1,1,1,0,0,1,0
1576,Dublin 14,4,month,0,2000,2,2,1,0,0,0,0,0,0,0,0,0
1577,Dublin 22,10,month,0,1675,2,2,1,1,1,0,0,0,0,0,1,0
1578,Dublin 1,0,month,0,2100,2,2,1,1,1,0,0,1,0,0,1,0
1579,Dublin 22,10,month,0,1975,2,2,1,1,1,0,0,0,0,0,1,0
1580,Dublin 22,10,month,0,1850,1,2,1,1,1,0,0,0,0,0,1,0
1581,Dublin 4,13,month,0,2250,2,2,1,1,1,1,1,1,0,0,1,0
1582,Dublin 6,15,month,0,1200,1,1,1,0,0,0,0,0,0,0,0,0
1583,Dublin 9,19,month,0,1700,2,2,1,0,0,0,0,0,0,1,0,0
1584,Dublin 1,0,month,0,1800,1,2,0,1,1,1,0,1,0,0,0,1
1585,Dublin 1,0,month,0,1775,1,2,0,1,1,1,0,1,0,0,0,0
1586,Dublin 1,0,week,1,390,1,2,0,1,1,1,0,1,0,0,0,0
1587,Dublin 1,0,month,0,1800,1,2,0,1,1,1,0,1,0,0,0,0
1588,Dublin 12,2,month,0,1600,2,2,1,1,0,0,1,1,0,0,1,0
1589,Dublin 16,6,month,0,1900,2,2,1,1,1,1,1,1,0,0,0,0
1590,Dublin 2,8,month,0,2000,1,1,0,1,1,1,1,1,0,1,1,0
1591,Dublin 2,8,month,0,2000,1,2,1,1,1,0,0,0,0,0,0,0
1592,Dublin 8,18,month,0,1790,1,2,1,1,1,1,0,0,0,0,1,0
1593,Dublin 4,13,month,0,2900,2,3,1,1,1,0,0,1,0,0,1,1
1594,Dublin 4,13,month,0,1950,1,2,1,0,0,0,0,0,1,1,0,0
1595,Dublin 4,13,month,0,1800,1,2,1,1,1,1,0,1,0,0,1,0
1596,Dublin 4,13,month,0,1820,1,1,0,1,1,0,0,1,0,0,0,0
1597,Dublin 6,15,month,0,2550,2,3,1,1,1,1,1,1,0,0,1,1
1598,Dun Laoghaire A94,22,month,0,1790,2,2,1,1,1,1,1,1,0,0,1,0
1599,Dublin 14,4,month,0,2850,2,3,1,1,1,0,1,1,0,0,1,0
1600,Dun Laoghaire A94,22,month,0,2100,1,2,1,1,1,0,1,1,0,0,1,0
1601,Dublin Fingal K67,21,month,0,1400,1,1,1,1,1,1,1,1,0,1,0,0
1602,Dublin 6,15,month,0,1800,1,1,0,1,1,0,1,1,0,0,1,0
1603,Dublin Fingal K67,21,month,0,1600,1,2,1,1,1,0,1,1,0,0,1,0
1604,Dublin 15,5,month,0,1850,1,2,1,0,1,1,0,1,0,0,1,0
1605,Dublin Fingal K67,21,month,0,1450,1,2,1,1,1,1,0,1,0,0,0,0
1606,Dublin 11,1,month,0,1600,2,2,1,0,1,0,0,1,0,0,1,0
1607,Dublin 22,10,month,0,1595,1,2,1,0,1,1,1,1,0,0,0,0
1608,Dublin 6,15,month,0,1595,1,2,1,1,1,0,1,1,0,0,1,0
1609,Dublin 4,13,month,0,1895,1,2,1,1,1,0,1,1,0,0,0,0
1610,Dublin 8,18,month,0,1700,1,2,0,0,1,0,0,1,0,0,1,0
1611,Dublin 18,7,month,0,2100,2,2,1,1,1,0,1,1,0,0,1,0
1612,Dun Laoghaire A96,23,month,0,1900,1,2,1,1,1,1,1,1,0,0,0,0
1613,Dublin 1,0,month,0,1900,1,2,1,1,1,1,0,1,0,0,1,0
1614,Dublin Fingal K67,21,month,0,1380,2,2,1,1,1,0,1,1,0,0,1,0
1615,Dublin 13,3,month,0,1695,2,2,1,1,1,1,1,0,0,0,0,1
1616,Dun Laoghaire A9X,24,month,0,2000,2,2,1,1,1,1,1,1,0,0,0,0
1617,Dublin 8,18,month,0,1300,1,1,0,1,1,0,0,1,0,0,0,0
1618,Dublin 2,8,month,0,2750,2,2,0,1,1,1,1,1,0,0,1,0
1619,Dublin 1,0,month,0,1600,1,2,0,1,1,1,0,1,0,0,0,0
1620,Dublin 4,13,month,0,2500,2,2,1,1,1,1,1,1,0,0,0,0
1621,Dublin 1,0,month,0,2050,1,2,1,1,1,0,1,1,0,0,1,1
1622,Dublin Fingal K36,20,month,0,2250,1,2,1,1,1,1,1,1,0,0,1,0
1623,Dublin 11,1,month,0,1400,1,1,1,1,1,1,1,1,0,0,1,0
1624,Dublin 7,17,month,0,900,1,1,0,1,1,1,0,1,1,0,1,0
1625,Dublin 1,0,month,0,1250,1,1,1,1,1,0,0,1,0,0,1,0
1626,Dublin 8,18,month,0,1700,1,1,0,1,1,0,0,1,0,0,0,1
1627,Dublin Fingal K67,21,month,0,1590,1,2,1,0,1,0,1,1,0,1,1,1
